4095,1033
4095,1034
4079,1025
4086,1027
4068,1023
4076,1028
4095,1045
4095,1047
4084,1034
4076,1037
4073,1035
4095,1043
4095,1055
4095,1048
4095,1062
4095,1056
4095,1061
4095,1061
4071,1050
4095,1065
4095,1058
4095,1064
4095,1063
4095,1070
4068,1058
4093,1065
4095,1072
4095,1083
4068,1062
4076,1068
4077,1069
4072,1082
4066,1071
4095,1080
4095,1090
4084,1079
4078,1082
4095,1092
4095,1093
4095,1099
4069,1090
4063,1087
4067,1087
4070,1098
4095,1107
4095,1106
4095,1111
4063,1096
4095,1108
4095,1121
4071,1101
4059,1103
4092,1112
4095,1119
4069,1109
4066,1109
4095,1124
4095,1132
4078,1121
4069,1118
4092,1124
4095,1133
4050,1118
4049,1123
4095,1136
4086,1132
4095,1139
4081,1135
4068,1137
4045,1134
4056,1133
4039,1132
4054,1137
4094,1153
4073,1147
4095,1158
4055,1145
4082,1155
4095,1164
4082,1158
4045,1153
4061,1157
4056,1155
4038,1156
4057,1162
4038,1169
4070,1169
4070,1169
4095,1186
4045,1167
4060,1176
4068,1179
4051,1174
4053,1179
4065,1182
4048,1182
4035,1188
4073,1194
4020,1187
4095,1201
4036,1187
4060,1205
4018,1188
4044,1195
4077,1207
4053,1209
4022,1195
4042,1206
4076,1216
4057,1209
4058,1215
4006,1201
4036,1214
4058,1221
4048,1219
4010,1211
4028,1218
4042,1225
3998,1212
4027,1226
4032,1233
4051,1235
3980,1221
4037,1235
4006,1231
4030,1238
4018,1236
4002,1235
4019,1240
4043,1252
3988,1236
3977,1233
4014,1249
4022,1251
4023,1257
3968,1240
3994,1248
3998,1263
3985,1251
4018,1266
3955,1246
4001,1267
3956,1252
3950,1251
3966,1260
3954,1258
3953,1261
3988,1274
4011,1279
3936,1260
3957,1268
3938,1266
3931,1265
3952,1271
3976,1285
3982,1285
3939,1289
3971,1288
3941,1281
3974,1294
3957,1290
3944,1291
3933,1289
3939,1294
3946,1305
3906,1285
3931,1299
3952,1306
3903,1294
3952,1315
3902,1295
3928,1308
3905,1302
3924,1313
3884,1300
3885,1302
3878,1305
3923,1320
3932,1327
3927,1327
3928,1330
3929,1333
3918,1331
3929,1340
3906,1341
3866,1323
3877,1327
3853,1323
3904,1342
3905,1344
3911,1350
3915,1353
3862,1335
3854,1337
3848,1336
3902,1359
3883,1354
3862,1347
3888,1361
3876,1358
3887,1373
3870,1372
3872,1367
3882,1371
3862,1376
3860,1374
3819,1356
3840,1368
3875,1380
3853,1375
3801,1361
3816,1367
3808,1369
3851,1385
3835,1380
3786,1376
3853,1393
3787,1373
3844,1395
3793,1377
3788,1381
3781,1381
3806,1393
3804,1394
3809,1402
3760,1384
3757,1382
3806,1408
3750,1388
3781,1403
3804,1414
3784,1408
3793,1414
3771,1419
3733,1404
3733,1399
3743,1415
3740,1409
3737,1410
3728,1410
3777,1429
3732,1414
3731,1420
3709,1417
3759,1437
3702,1416
3732,1432
3744,1438
3752,1442
3742,1444
3697,1427
3743,1449
3680,1430
3712,1440
3726,1450
3712,1446
3681,1441
3683,1442
3704,1452
3716,1460
3688,1452
3653,1443
3665,1448
3658,1446
3712,1476
3641,1451
3640,1452
3631,1456
3637,1457
3644,1461
3638,1460
3630,1463
3680,1484
3626,1466
3682,1489
3671,1488
3647,1484
3634,1479
3631,1485
3653,1493
3632,1486
3626,1489
3644,1498
3642,1504
3586,1488
3604,1490
3629,1506
3584,1489
3596,1501
3569,1498
3607,1520
3611,1513
3607,1513
3603,1517
3551,1506
3546,1501
3541,1506
3557,1508
3549,1511
3576,1521
3539,1512
3528,1509
3552,1521
3566,1536
3527,1518
3513,1517
3544,1533
3540,1532
3500,1519
3511,1526
3517,1538
3507,1532
3511,1541
3504,1540
3523,1559
3535,1561
3512,1554
3516,1561
3479,1545
3493,1554
3488,1556
3498,1563
3493,1566
3492,1568
3452,1552
3457,1558
3484,1573
3447,1562
3459,1570
3468,1575
3459,1577
3467,1583
3416,1566
3426,1570
3424,1576
3458,1592
3446,1589
3404,1576
3411,1580
3426,1593
3423,1594
3381,1576
3392,1587
3405,1602
3405,1601
3411,1605
3422,1612
3374,1596
3397,1613
3353,1594
3374,1606
3380,1610
3390,1620
3380,1618
3327,1599
3331,1603
3359,1622
3358,1624
3351,1622
3352,1628
3320,1616
3336,1628
3298,1612
3328,1628
3331,1635
3321,1633
3283,1619
3284,1622
3280,1622
3298,1637
3276,1628
3266,1629
3294,1645
3252,1626
3248,1631
3254,1635
3269,1647
3285,1659
3269,1656
3262,1666
3262,1658
3232,1650
3275,1675
3248,1677
3208,1647
3247,1675
3213,1657
3196,1652
3186,1662
3226,1675
3203,1665
3197,1669
3197,1670
3200,1677
3184,1672
3196,1680
3194,1688
3188,1686
3196,1697
3141,1669
3178,1695
3144,1692
3159,1690
3156,1694
3139,1687
3149,1699
3126,1700
3164,1712
3103,1687
3125,1701
3147,1720
3112,1702
3103,1700
3099,1703
3103,1709
3109,1717
3105,1717
3094,1716
3077,1712
3088,1721
3086,1725
3096,1733
3097,1741
3042,1712
3035,1712
3034,1717
3056,1735
3073,1749
3048,1738
3044,1738
3012,1725
3019,1732
3044,1754
3008,1737
3004,1738
3013,1749
2984,1734
3004,1751
3005,1755
2995,1752
2988,1756
3008,1770
2994,1770
2966,1754
2962,1758
2946,1752
2969,1767
2968,1774
2931,1757
2913,1758
2947,1774
2952,1779
2919,1766
2933,1778
2902,1767
2917,1779
2937,1792
2896,1775
2911,1786
2917,1797
2877,1776
2873,1776
2866,1778
2854,1773
2851,1779
2862,1790
2857,1792
2881,1809
2865,1803
2866,1809
2856,1808
2822,1793
2836,1806
2830,1804
2820,1804
2819,1809
2787,1801
2788,1797
2812,1815
2775,1805
2821,1832
2809,1833
2809,1835
2780,1819
2792,1833
2767,1823
2774,1834
2785,1843
2769,1840
2729,1817
2730,1822
2724,1824
2752,1845
2748,1851
2726,1836
2738,1850
2732,1855
2728,1855
2687,1834
2693,1843
2708,1855
2710,1864
2705,1862
2704,1870
2684,1862
2688,1866
2667,1873
2651,1851
2662,1869
2654,1866
2665,1881
2630,1859
2627,1859
2616,1862
2629,1874
2630,1881
2608,1881
2591,1862
2608,1880
2602,1879
2589,1877
2590,1884
2602,1896
2557,1872
2600,1906
2564,1887
2554,1885
2552,1887
2541,1885
2547,1894
2539,1897
2562,1914
2520,1905
2538,1916
2533,1909
2511,1900
2505,1899
2527,1927
2518,1932
2497,1908
2502,1922
2504,1928
2467,1908
2474,1915
2467,1913
2481,1933
2459,1920
2470,1936
2473,1941
2461,1938
2464,1947
2446,1936
2422,1926
2414,1925
2437,1951
2423,1943
2409,1948
2411,1947
2423,1960
2409,1956
2372,1934
2368,1932
2393,1973
2390,1961
2376,1968
2372,1960
2369,1960
2355,1957
2351,1960
2348,1966
2351,1970
2324,1956
2326,1965
2337,1976
2323,1972
2298,1958
2290,1958
2301,1972
2314,1986
2298,1990
2304,1992
2304,2000
2298,2001
2256,1979
2257,1976
2262,1984
2254,1988
2245,1983
2248,1990
2225,1990
2239,1997
2235,2000
2251,2018
2237,2017
2234,2019
2221,2010
2216,2013
2185,1993
2207,2021
2184,2017
2203,2028
2164,1999
2174,2014
2192,2036
2145,2001
2144,2005
2159,2025
2158,2031
2134,2032
2122,2009
2138,2028
2129,2030
2140,2044
2137,2051
2127,2048
2094,2023
2102,2035
2095,2032
2077,2027
2074,2027
2090,2051
2090,2061
2085,2059
2077,2060
2049,2033
2078,2075
2064,2066
2034,2040
2050,2067
2048,2069
2048,2078
2018,2067
2013,2057
2010,2061
2002,2057
2011,2078
2014,2087
1998,2080
2012,2097
1996,2089
1997,2098
1967,2071
1985,2101
1977,2098
1950,2074
1953,2085
1942,2083
1951,2100
1956,2109
1942,2105
1923,2092
1933,2107
1906,2086
1897,2085
1894,2086
1899,2101
1904,2115
1888,2106
1887,2109
1900,2132
1858,2101
1874,2116
1872,2123
1854,2111
1852,2118
1833,2100
1836,2122
1822,2112
1846,2137
1827,2126
1821,2125
1831,2144
1835,2161
1806,2129
1811,2158
1808,2148
1784,2126
1779,2128
1776,2133
1779,2145
1761,2128
1779,2164
1772,2159
1758,2148
1755,2154
1760,2169
1757,2174
1752,2171
1745,2169
1728,2162
1730,2170
1723,2170
1716,2166
1695,2149
1707,2173
1712,2185
1700,2184
1689,2175
1690,2183
1690,2192
1678,2189
1655,2165
1659,2176
1654,2179
1647,2180
1649,2197
1653,2202
1626,2172
1621,2178
1641,2210
1618,2185
1630,2210
1598,2180
1604,2198
1610,2208
1587,2185
1578,2187
1582,2198
1576,2200
1570,2195
1562,2194
1575,2223
1568,2221
1562,2221
1554,2220
1553,2229
1556,2239
1549,2233
1539,2249
1540,2243
1528,2240
1507,2214
1516,2241
1505,2235
1500,2232
1491,2229
1485,2234
1481,2247
1472,2230
1489,2260
1458,2230
1464,2245
1450,2230
1467,2266
1435,2235
1445,2256
1455,2278
1450,2280
1424,2245
1419,2250
1416,2253
1414,2258
1408,2259
1401,2263
1403,2271
1399,2275
1381,2250
1390,2278
1385,2282
1388,2292
1380,2290
1374,2286
1365,2281
1357,2284
1364,2301
1337,2268
1338,2275
1327,2273
1325,2276
1331,2298
1325,2294
1325,2303
1302,2278
1317,2311
1299,2288
1304,2309
1287,2283
1286,2318
1296,2324
1289,2323
1273,2302
1274,2311
1266,2305
1266,2322
1267,2338
1260,2329
1257,2330
1243,2317
1241,2328
1244,2345
1225,2316
1237,2350
1218,2322
1212,2321
1222,2357
1197,2318
1199,2333
1203,2349
1183,2318
1189,2340
1188,2355
1182,2358
1166,2331
1169,2344
1164,2348
1173,2372
1149,2348
1154,2362
1147,2356
1139,2355
1139,2363
1144,2384
1116,2344
1121,2366
1119,2372
1112,2363
1115,2383
1095,2350
1091,2354
1097,2384
1079,2352
1078,2364
1090,2397
1081,2391
1078,2393
1076,2395
1063,2381
1065,2402
1059,2399
1045,2376
1040,2375
1036,2379
1033,2382
1032,2389
1033,2402
1015,2385
1011,2382
1013,2399
1013,2414
1011,2426
1005,2417
997,2406
999,2421
981,2390
980,2399
981,2444
982,2437
973,2427
972,2435
966,2434
950,2406
947,2409
943,2409
941,2415
937,2417
934,2422
930,2432
922,2428
923,2442
924,2452
917,2457
905,2426
